Type,Mobility,Delay,Tp_type,Ap_type,Server_type,V_id,Tile_scheme,VP_trace,VP_error,Thread,Total_seg,Algo,Buffer_time,Host_num,Bg_traffic,til_720_z1, til_1080_z1, til_4k_z1, til_720_z2, til_1080_z2, til_4k_z2, til_720_z3, til_1080_z3,til_4k_z3, z1_bit, z2_bit, z3_bit, qt_sw_z1, qt_sw_z2, qt_sw_z3, total_stall, start_time,QoE,QoE1,TP_D_avg,TP_D_max,TP_D_min,TP_D_medn,TP_D_std,TP_D_10p,TP_D_20p,TP_D_30p,TP_D_40p,TP_D_50p,TP_D_60p,TP_D_70p,TP_D_80p,TP_D_90p,TP_D_F25_avg,TP_D_F50_avg,TP_D_L25_avg,TP_D_L50_avg,TP_U_avg,TP_U_max,TP_U_min,TP_U_medn,TP_U_std,TP_U_10p,TP_U_20p,TP_U_30p,TP_U_40p,TP_U_50p,TP_U_60p,TP_U_70p,TP_U_80p,TP_U_90p,TP_U_F25_avg,TP_U_F50_avg,TP_U_L25_avg,TP_U_L50_avg,PC_D_total,PC_D_avg,PC_D_max,PC_D_min,PC_D_medn,PC_D_std,PC_D_10p,PC_D_20p,PC_D_30p,PC_D_40p,PC_D_50p,PC_D_60p,PC_D_70p,PC_D_80p,PC_D_90p,PC_D_F25_total,TP_D_F50_total,PC_D_L25_total,PC_D_L50_total,PC_U_total,PC_U_avg,PC_U_max,PC_U_min,PC_U_medn,PC_U_std,PC_U_10p,PC_U_20p,PC_U_30p,PC_U_40p,PC_U_50p,PC_U_60p,PC_U_70p,PC_U_80p,PC_U_90p,PC_U_F25_total,TP_U_F50_total,PC_U_L25_total,PC_U_L50_total,PS_D_avg,PS_D_max,PS_D_min,PS_D_medn,PS_D_std,PS_D_10p,PS_D_20p,PS_D_30p,PS_D_40p,PS_D_50p,PS_D_60p,PS_D_70p,PS_D_80p,PS_D_90p,PS_D_F25_avg,PS_D_F50_avg,PS_D_L25_avg,PS_D_L50_avg,PS_U_avg,PS_U_max,PS_U_min,PS_U_medn,PS_U_std,PS_U_10p,PS_U_20p,PS_U_30p,PS_U_40p,PS_U_50p,PS_U_60p,PS_U_70p,PS_U_80p,PS_U_90p,PS_U_F25_avg,PS_U_F50_avg,PS_U_L25_avg,PS_U_L50_avg,IAT_D_avg,IAT_D_max,IAT_D_min,IAT_D_medn,IAT_D_std,IAT_D_10p,IAT_D_20p,IAT_D_30p,IAT_D_40p,IAT_D_50p,IAT_D_60p,IAT_D_70p,IAT_D_80p,IAT_D_90p,IAT_D_F25_avg,IAT_D_F50_avg,IAT_D_L25_avg,IAT_D_L50_avg,IAT_U_avg,IAT_U_max,IAT_U_min,IAT_U_medn,IAT_U_std,IAT_U_10p,IAT_U_20p,IAT_U_30p,IAT_U_40p,IAT_U_50p,IAT_U_60p,IAT_U_70p,IAT_U_80p,IAT_U_90p,IAT_U_F25_avg,IAT_U_F50_avg,IAT_U_L25_avg,IAT_U_L50_avg,nQoE,nQoE1
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,0,1,60,0,2,1,no,60,0,0,480,0,0,2340,0,0,332286.549746,235551.204358,280429.784919,0,0,0,174.406237,5.3e-05,47874658.5698749,102188770.43163031,706001.0464135021,1569304.0,46656.0,705312.0,204355.87817843168,492476.8,592656.0,635796.8,667286.4,705312.0,737776.0,777305.6,822715.2000000001,926550.4,791023.8666666667,736074.5546218487,723414.2666666667,673930.8235294118,682170.3966244726,978200.0,54784.0,708584.0,145241.1944286105,531883.2000000001,618492.8,666513.6,684467.2,708584.0,731280.0,769332.7999999999,783672.0,815712.0,703093.6,679396.9075630252,686312.6666666666,684359.1260504202,51236.0,216.18565400843883,357.0,34.0,224.0,47.83224162106898,170.6,191.0,201.8,217.0,224.0,231.6,238.2,248.8,264.4,13739.0,26099.0,13159.0,25304.0,30520.0,128.77637130801688,196.0,8.0,134.0,28.381751705463305,99.0,115.0,123.0,129.0,134.0,139.0,145.0,149.0,155.0,8082.0,15334.0,7815.0,15292.0,408.1855348365452,1430.0,70.0,72.0,490.7774586817112,70.0,70.0,72.0,72.0,72.0,185.0,522.0,1221.0,1280.0,431.8130140476017,419.5221656002146,412.3114978341819,396.17139582674673,662.019119332133,1472.0,54.0,107.0,625.9507277713291,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,652.4625092798813,659.0601930350854,658.6493921944978,665.6972273083966,0.0046248815635484,0.399946,0.0,0.000234,0.0094322982127359,1E-06,3E-06,8E-06,2.2e-05,0.000234,0.0018931999999999,0.006423,0.008016,0.0132819,0.004366935512046,0.0045585757308709,0.0180096039212706,0.0093656488302244,0.0077623937796693,0.998096,0.0,0.002138,0.0226529978071815,0.000207,0.000306,0.000439,0.0007602,0.002138,0.0036205999999999,0.0071807999999999,0.0155038,0.0239126,0.0074237096015837,0.0077599116994913,0.0303238354446577,0.0154970425058854,0.43326429774535874,0.8749931714076362
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,0,1,60,1,2,1,no,54,2,4,464,8,8,2340,0,0,440203.594163,310151.850113,344184.42314,6,3,0,130.484734,0.001069,63149851.1821782,128801717.69153611,856579.3989637305,1612960.0,48848.0,859088.0,279880.309852925,587664.0,689129.6000000001,775262.4,827363.2,859088.0,907443.2,953670.4,1025796.8,1177648.0,945322.9387755102,899135.7525773196,879711.8367346938,809210.2268041237,838270.3419689119,1966968.0,9824.0,885512.0,232627.8018480377,641769.6000000001,790788.8,838846.4,861702.4,885512.0,897497.6,915724.8,940606.4,958220.8,848850.9387755102,837030.8453608247,847827.4285714285,836035.9587628866,49962.0,258.8704663212435,520.0,21.0,271.0,71.05612470668358,196.2,227.4,250.0,261.8,271.0,280.0,287.4,298.6,316.8,13150.0,25512.0,12970.0,24598.0,30816.0,159.66839378238342,324.0,1.0,169.0,43.65388938046445,115.4,152.0,158.6,163.0,169.0,172.2,178.0,182.0,188.0,7889.0,15522.0,8040.0,15385.0,413.57888633409976,1430.0,70.0,84.0,491.7290475995937,70.0,70.0,72.0,72.0,84.0,185.0,538.0,1280.0,1280.0,440.3120152091255,427.3291392285983,415.4383191981496,398.8809659321896,656.1606650892944,1472.0,54.0,107.0,625.6767228945572,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,659.0457599188744,653.8460894214663,645.8884328358209,658.8843678908028,0.003871389003299,1.019581,0.0,7E-05,0.0111823830072786,1E-06,3E-06,6E-06,1.2e-05,7E-05,0.000422,0.003649,0.007963,0.012038,0.003725666311787,0.003798241533396,0.0148666975327679,0.0078388920643954,0.006275671863352,0.998212,0.0,0.000679,0.0227524997074933,0.000182,0.000253,0.000332,0.000457,0.000679,0.001996,0.003139,0.00894,0.0227575999999999,0.0062092545316263,0.0062190137868831,0.0239237330845771,0.0125022303542411,0.9225767771244288,1.7425590511971834
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,0,1,60,0,4,1,no,51,1,8,432,32,16,2340,0,0,589847.471158,355462.827915,355426.118812,4,4,0,125.431511,3.7e-05,75959697.65274939,142067194.11476952,898808.0,2059208.0,64072.0,890120.0,308653.1227489425,570670.4,734502.4,780396.7999999999,836347.2,890120.0,925771.2,975958.4,1083955.2,1210243.2000000002,1051441.0212765958,984998.3829787234,895887.3191489362,810992.340425532,864209.1978609626,2396976.0,65488.0,904352.0,249890.3287061224,599897.6,808259.2,850819.2,892548.8,904352.0,923128.0,940784.0,954987.2,987225.6,902722.5531914892,899060.5957446808,857123.7446808511,830490.8936170213,50231.0,268.6149732620321,641.0,28.0,277.0,74.37052338839264,177.0,241.2,252.8,266.0,277.0,287.0,295.0,306.6,324.4,13718.0,26764.0,12606.0,23722.0,30978.0,165.6577540106952,406.0,11.0,174.0,46.02417966321735,106.8,153.2,163.8,170.0,174.0,177.0,181.0,184.8,192.4,8300.0,16421.0,7777.0,14735.0,418.3082442262591,1430.0,70.0,84.0,493.99981344763273,70.0,70.0,72.0,72.0,84.0,185.0,538.0,1280.0,1280.0,450.3000437381543,432.4365192049021,417.52641599238456,401.7013742517494,651.9410703354062,1472.0,54.0,107.0,625.4484627790432,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,638.9753012048193,643.3202606418611,647.4992927864215,662.2509670851714,0.0037218670151448,0.395983,0.0,7E-05,0.0087637139654307,1E-06,3E-06,6E-06,1.2e-05,7E-05,0.0003917999999999,0.002545,0.007944,0.012039,0.0034246783787724,0.0035118559632341,0.0148332446454069,0.007882466992665,0.0060333382092341,0.998355,0.0,0.000612,0.020701188556731,0.000188,0.00025,0.000324,0.00044,0.000612,0.001902,0.003079,0.0082718,0.0221234,0.0056612133734939,0.0057240937214542,0.0240449459945994,0.0126907054631828,1.3329164629187595,2.1750055071103387
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,0,1,60,1,4,1,no,50,2,8,440,16,24,2340,0,0,543275.51695,369025.602529,366225.835642,8,4,0,114.50915,8.5e-05,75956759.2864218,143940376.3052386,948351.6363636364,2116264.0,214816.0,901372.0,270954.0220289892,723072.0,790264.0,827880.0,873880.0,901372.0,946584.0,1013612.0,1075592.0,1273576.0,1107919.6363636365,1030927.2727272728,935295.0909090908,865776.0,917791.4545454546,2409120.0,124384.0,919704.0,221774.8516976636,824028.0,871432.0,889288.0,904728.0,919704.0,946904.0,955220.0,976512.0,999116.0,977037.6363636364,943195.4545454546,897932.5454545454,892387.4545454546,49956.0,283.84090909090907,658.0,62.0,281.0,63.77640030244095,246.0,256.0,268.0,275.0,281.0,287.0,296.5,310.0,335.5,13672.0,26192.0,12347.0,23764.0,31178.0,177.14772727272728,408.0,28.0,176.5,38.83210942129513,157.5,167.0,170.0,174.0,176.5,180.0,185.0,190.0,199.0,8411.0,16177.0,7670.0,15001.0,417.6114414558225,1430.0,70.0,84.0,493.57154552537577,70.0,70.0,72.0,72.0,84.0,185.0,538.0,1280.0,1280.0,445.6961673493271,432.96426389737326,416.6293836559488,400.7547550917354,647.4986252317923,1472.0,54.0,107.0,625.1216494806674,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,638.8903816430865,641.351919391729,643.8890482398957,654.3738417438838,0.0035227403623593,0.476014,0.0,6.5e-05,0.0077621085471388,1E-06,3E-06,7E-06,1.2e-05,6.5e-05,0.000356,0.0018644999999999,0.007901,0.012012,0.0032178531304856,0.0033595989233353,0.0142531169514861,0.0074054551001514,0.0056441911567235,0.998131,0.0,0.000606,0.0159031722074899,0.000191,0.00025,0.000327,0.0004348,0.000606,0.001873,0.002988,0.0076408,0.021284,0.0052306252526453,0.0054389810224392,0.0229461401564537,0.0117323441770548,1.3328223378003687,2.236070106202254
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,100,1,60,0,2,1,no,57,2,1,457,17,6,2224,83,33,608009.041613,419780.784234,370288.872321,2,4,2,116.890792,6.3e-05,85984307.44680859,152482426.1266232,956714.4719101124,2260200.0,44680.0,895176.0,310338.1076520184,717244.8,777321.6,823999.2,863308.8,895176.0,925648.0,1010068.0,1093372.8,1327314.4,1147546.8444444444,1057858.8764044945,902757.3333333334,855570.0674157303,907351.191011236,2671792.0,19648.0,914176.0,251367.84127992103,766217.6,848484.8,877129.6,897840.0,914176.0,933571.2,950196.0,960097.6,997217.6,946602.1333333332,933143.011235955,862421.1555555556,881559.3707865168,50280.0,282.4719101123595,697.0,22.0,280.0,70.16346721981837,235.5,253.6,265.2,274.0,280.0,287.0,295.0,309.2,339.3,13875.0,26520.0,12155.0,23760.0,31330.0,176.01123595505618,452.0,2.0,175.0,43.6608467242066,153.4,163.0,169.1,172.0,175.0,180.0,183.0,188.0,202.0,8501.0,16391.0,7546.0,14939.0,423.36772366258,1430.0,70.0,84.0,496.61088947387066,70.0,70.0,72.0,72.0,84.0,185.0,576.0,1280.0,1280.0,465.2216936936937,443.7662141779789,417.7712875359934,400.5983585858586,644.2621491911134,1472.0,54.0,107.0,624.7774360050142,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,626.3541936242794,633.3485449331951,642.8729128014842,656.4929379476538,0.0035404077719899,0.382561,0.0,7.3e-05,0.0076990068514155,1E-06,4E-06,7E-06,1.3e-05,7.3e-05,0.000361,0.001711,0.007914,0.012013,0.0032423429909909,0.0033554867269984,0.0146438161250514,0.0074913966750841,0.0056812042081174,0.998105,0.0,0.000606,0.0166244258626473,0.00019,0.000249,0.000327,0.000424,0.000606,0.0019,0.002996,0.0072532,0.0212628,0.0052930018821315,0.005429370020133,0.0235883151338457,0.0119149491933864,1.6540362548347043,2.514535730325762
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,100,1,60,0,4,1,no,55,3,2,443,17,20,2269,52,19,573272.322801,389631.61179,362033.095144,6,9,2,121.435139,3.4e-05,80183860.5841513,146197288.1818848,926131.3224043716,2177024.0,27912.0,879424.0,313799.3219993231,686668.8,739883.2,794230.4,844259.2,879424.0,922059.2,978508.8,1039454.4,1312297.6,1184956.347826087,1044658.6086956522,894728.0,805575.3913043478,883496.8743169399,2545952.0,57816.0,897712.0,236297.63877158807,780902.4,836777.6,860731.2,888756.8,897712.0,908078.4,922108.8,944547.2,971472.0,985982.2608695652,942090.0,854001.5652173914,825603.3913043478,50408.0,275.4535519125683,672.0,8.0,277.0,71.12028428733039,229.0,244.0,255.6,267.0,277.0,284.2,293.4,308.2,330.20000000000005,14773.0,27526.0,12336.0,23139.0,31340.0,171.2568306010929,425.0,15.0,173.0,42.03361450583159,144.6,160.4,165.0,168.0,173.0,175.2,180.4,187.0,196.0,9007.0,16987.0,7638.0,14527.0,420.2318611050621,1430.0,70.0,84.0,495.3023086772657,70.0,70.0,72.0,72.0,84.0,185.0,556.0,1280.0,1280.0,461.2129560685033,436.4445978347744,417.04653047989626,400.3680798651627,644.8094313188562,1472.0,54.0,107.0,625.0193724169922,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,629.443543910292,637.7838935656679,642.9050798638388,653.5719005988848,0.0036299663255003,1.040781,0.0,7.2e-05,0.0089538556623509,1E-06,4E-06,7E-06,1.5e-05,7.2e-05,0.000378,0.00245,0.007952,0.012025,0.0031135159412441,0.003342122829325,0.0148342928015564,0.0079085455724102,0.0058382943068203,0.998114,0.0,0.000607,0.0172749390801302,0.000195,0.000251,0.000323,0.000428,0.000607,0.001898,0.002961,0.007515,0.0228975,0.0051067326523814,0.0054158763760522,0.0239559798376538,0.0125955650857024,1.4682296920037157,2.309644059464466
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,100,1,60,1,4,1,no,59,1,0,478,1,1,2337,2,1,400005.093707,308516.530737,355976.317477,8,0,0,116.285275,3.4e-05,61226088.7349532,129715753.54915772,922830.3370786516,2242480.0,114560.0,869156.0,248008.21529075727,695561.6,758915.2,809272.8,844462.4,869156.0,914825.6,963585.6,1054928.0,1180810.4,1105900.4444444445,977210.6966292136,949669.3333333334,868449.9775280899,908273.573033708,2628840.0,133136.0,900732.0,210271.32005016264,793471.2,843872.0,860267.2,892571.2,900732.0,917171.2,941629.6,953808.0,983404.8,1000903.4666666668,924969.2584269664,913512.1777777778,891577.8876404495,49734.0,279.40449438202245,692.0,35.0,273.5,59.34061252133544,230.4,250.4,260.0,267.0,273.5,284.0,291.0,301.0,320.90000000000003,14155.0,25631.0,12815.0,24103.0,31050.0,174.438202247191,441.0,22.0,173.0,35.77942885726873,153.4,161.0,165.0,169.8,173.0,175.2,180.0,185.0,195.3,8750.0,15923.0,7972.0,15127.0,412.8984972211633,1430.0,70.0,84.0,491.0288200612307,70.0,70.0,72.0,72.0,84.0,185.0,538.0,1267.0,1280.0,439.4694454256447,424.1531348757365,416.84666406554817,400.84246774260464,650.6949773450303,1472.0,54.0,107.0,625.2094619081821,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,643.4379428571428,646.2527789989324,644.5692423482187,655.701989819528,0.003578040508818,0.408021,0.0,6.6e-05,0.0071728714624771,1E-06,3E-06,7E-06,1.3e-05,6.6e-05,0.000345,0.002088,0.007948,0.012035,0.0031785865065347,0.0034720226678631,0.0138896089738587,0.0073847794465419,0.0057305756611716,0.998017,0.0,0.000608,0.0131025585449206,0.00019,0.000248,0.000323,0.000422,0.000608,0.001892,0.002996,0.007813,0.02202,0.0051398542857142,0.0055891278025497,0.0223266017310587,0.0117662239042771,0.8609526132477763,1.7723560637276734
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,100,1,60,0,6,1,no,58,0,2,462,6,12,2303,11,26,569294.688551,400571.522755,365602.409654,5,4,0,115.70692,0.004247,81592173.9378634,147915705.10467702,948015.4576271188,2119216.0,99712.0,889576.0,295532.6287062624,710116.8,778617.6,819798.4,859923.2,889576.0,938457.6,1001867.2,1111108.8,1280046.4,1179297.9555555556,1047001.3483146068,927132.088888889,847747.6853932585,912553.2655367232,2495136.0,110864.0,921600.0,230322.3312524477,792252.8,848425.6,887804.8,904320.0,921600.0,942849.6,958414.4,971940.8,996865.6,1004331.0222222222,954689.7078651686,891469.5111111111,871059.8651685393,50118.0,283.1525423728813,663.0,47.0,279.0,66.67803072730878,239.0,256.2,264.0,272.0,279.0,288.6,300.0,310.0,333.20000000000005,14558.0,26815.0,12546.0,23584.0,31219.0,176.37853107344634,418.0,19.0,177.0,41.000181783948605,152.6,162.0,167.8,173.4,177.0,181.0,185.2,190.0,201.4,8980.0,16647.0,7761.0,14748.0,418.5024653067716,1430.0,70.0,84.0,494.1853580610009,70.0,70.0,72.0,72.0,84.0,185.0,538.0,1280.0,1280.0,455.66362137656273,434.3796382621667,415.67973856209153,399.8979392808684,646.6103025660666,1472.0,54.0,107.0,625.1609285933312,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,629.1048997772829,638.008229711059,646.1172529313233,657.0749254136155,0.0035318096146964,0.426806,0.0,6.8e-05,0.007446852692476,1E-06,4E-06,7E-06,1.3e-05,6.8e-05,0.000352,0.0019298999999999,0.007911,0.012014,0.003091041077071,0.0033190094723102,0.0141079981667463,0.0075050434616689,0.0056694014426145,0.99806,0.0,0.000604,0.0161649988025912,0.000196,0.000252,0.000326,0.000426,0.000604,0.0018725999999999,0.002957,0.0071854,0.0212979,0.0050088738307349,0.0053458049498408,0.0228030757634325,0.0119999098860862,1.5133423996688538,2.365663405044936
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,1,100,1,60,1,6,1,no,54,2,4,447,7,26,2303,10,27,636222.593721,438318.605471,369597.150324,7,5,0,115.994506,0.000888,89838722.9439404,155285163.5571108,956664.584269663,2674392.0,73864.0,884428.0,351296.75974341185,700297.6,766763.2,817296.8,851873.6,884428.0,929833.6,983786.4,1086350.4,1312692.0000000002,1191546.1333333333,1061548.3146067415,901355.911111111,851780.8539325843,909931.9101123596,2565288.0,97448.0,909336.0,245101.7269060064,803573.6,859796.8,889772.0,902931.2,909336.0,932116.8,949118.4,962174.4,980688.0,986253.6888888888,947073.8876404496,859602.6666666666,872789.9325842697,50486.0,283.6292134831461,687.0,28.0,278.0,75.63727486378389,236.1,252.0,263.0,272.0,278.0,290.0,298.9,308.0,332.0,14434.0,26772.0,12176.0,23714.0,31288.0,175.77528089887642,435.0,15.0,174.0,45.148133911686905,151.0,162.4,166.0,171.0,174.0,178.0,181.0,187.0,197.20000000000005,8867.0,16572.0,7470.0,14716.0,421.6291216403436,1430.0,70.0,84.0,496.1427756442495,70.0,70.0,72.0,72.0,84.0,185.0,576.0,1280.0,1280.0,464.3513232645144,441.1222545943523,416.4033344283837,399.5977903348233,646.9646484000766,1472.0,54.0,107.0,625.1461549200808,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,625.6543363031465,635.7830678252474,647.2911646586346,659.8116335960859,0.0035250742192138,1.008104,0.0,6.5e-05,0.0085093412118581,1E-06,3E-06,6E-06,1.2e-05,6.5e-05,0.000322,0.0020965,0.007925,0.012016,0.0031175145489815,0.0033242986702525,0.0146181178547963,0.0075057014000168,0.0056877170275276,0.998107,0.0,0.000603,0.0160809013080151,0.000188,0.000245,0.000315,0.000418,0.000603,0.001869,0.002994,0.0074918,0.0217134,0.0050749963911131,0.0053700166545981,0.023826241231593,0.0120944565099211,1.7775053102716618,2.6059032643667344
5g,static-1,5,quic,http-3_p,WSGI_caddy,v1,12x4,2,0,1,60,0,4,1,no,58,0,2,480,0,0,2340,0,0,298205.279674,302939.338574,356317.601309,4,0,0,121.631809,7.3e-05,56147360.6839124,124984591.1385546,896909.4644808744,2094064.0,179160.0,871000.0,256700.2017895916,688097.6,741673.6,797899.2,840062.4,871000.0,918000.0,966889.6,1042868.8,1169640.0000000002,1057687.3043478262,959879.8260869564,922024.695652174,827679.1304347826,882131.8032786886,2404576.0,111752.0,895040.0,218695.0291633764,752838.4,838059.2,856908.8,878684.8,895040.0,906537.6,929614.4,950512.0,960288.0,959548.1739130436,908903.3913043478,881840.8695652174,850001.7391304348,49742.0,271.8142076502732,642.0,69.0,272.0,62.75782593569873,231.2,244.0,259.0,266.0,272.0,282.0,292.0,301.6,317.40000000000003,13853.0,26060.0,12688.0,23808.0,30873.0,168.70491803278688,402.0,21.0,173.0,37.90915698697647,143.2,157.0,164.0,168.0,173.0,175.0,178.0,182.6,188.0,8528.0,16106.0,7835.0,14836.0,412.4647686975337,1430.0,70.0,84.0,490.9374229661073,70.0,70.0,72.0,72.0,84.0,185.0,538.0,1261.0,1280.0,439.0169638345485,423.5847275518036,417.8469419924338,399.7946068548387,653.5101830035826,1472.0,54.0,107.0,625.3444749701804,55.0,55.0,56.0,95.0,107.0,1228.0,1228.0,1228.0,1434.0,646.9749061913697,648.9748540916429,647.17102744097,658.8716635211647,0.0036775268366958,0.424014,0.0,6.9e-05,0.0080465086916539,1E-06,3E-06,5E-06,1.1e-05,6.9e-05,0.000368,0.00357,0.007957,0.0120158,0.0033201264708005,0.0035300882962394,0.01442229342686,0.0076860743867607,0.0059241861343317,0.998064,0.0,0.000611,0.017424179180352,0.000197,0.000249,0.000348,0.000444,0.000611,0.001956,0.003031,0.008157,0.0221992,0.0053937754455909,0.005676141686328,0.0233553996171027,0.0123341571852251,0.6982649746810969,1.618123049281882
