Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 8952.000000, 0.043582, 205405.901519, 205400.000000, 1.000000, 2, 0.000063, 205405.901519, 205405.901519
Z2, 0, 1, 720, 5424.000000, 0.028033, 193486.248350, 193480.000000, 1.000000, 2, 0.000063, 96743.124175, 96743.124175
Z2, 1, 1, 720, 7080.000000, 0.027338, 258980.174117, 258976.000000, 1.000000, 2, 0.000063, 86326.724706, 86326.724706
Z2, 2, 1, 720, 7080.000000, 0.033399, 211982.394682, 211976.000000, 1.000000, 2, 0.000063, 52995.598671, 52995.598671
Z2, 3, 1, 720, 12904.000000, 0.031609, 408238.160018, 408232.000000, 1.000000, 2, 0.000063, 81647.632004, 81647.632004
Z2, 4, 1, 720, 16024.000000, 0.027950, 573309.481216, 573304.000000, 1.000000, 2, 0.000063, 114661.896243, 114661.896243
Z2, 5, 1, 720, 9960.000000, 0.026611, 374281.312239, 374280.000000, 1.000000, 2, 0.000063, 74856.262448, 74856.262448
Z2, 6, 1, 720, 6376.000000, 0.028428, 224285.915295, 224280.000000, 1.000000, 2, 0.000063, 44857.183059, 44857.183059
Z2, 7, 1, 720, 6872.000000, 0.027270, 251998.533187, 251992.000000, 1.000000, 2, 0.000063, 50399.706637, 50399.706637
Z3, 0, 1, 720, 7080.000000, 0.034300, 206413.994169,206408.000000, 1.000000, 2, 0.000063, 41282.798834, 41282.798834
Z3, 1, 1, 720, 7080.000000, 0.029264, 241935.483871,241928.000000, 1.000000, 2, 0.000063, 48387.096774, 48387.096774
Z3, 2, 1, 720, 5664.000000, 0.028841, 196387.087826,196384.000000, 1.000000, 2, 0.000063, 39277.417565, 39277.417565
Z3, 3, 1, 720, 7080.000000, 0.028184, 251206.358217,251200.000000, 1.000000, 2, 0.000063, 50241.271643, 50241.271643
Z3, 4, 1, 720, 7080.000000, 0.033261, 212861.910345,212856.000000, 1.000000, 2, 0.000063, 42572.382069, 42572.382069
Z3, 5, 1, 720, 5664.000000, 0.028614, 197945.061858,197944.000000, 1.000000, 2, 0.000063, 39589.012372, 39589.012372
Z3, 6, 1, 720, 7080.000000, 0.028255, 250575.119448,250568.000000, 1.000000, 2, 0.000063, 50115.023890, 50115.023890
Z3, 7, 1, 720, 7080.000000, 0.032174, 220053.459315,220048.000000, 1.000000, 2, 0.000063, 44010.691863, 44010.691863
Z3, 8, 1, 720, 5664.000000, 0.028216, 200737.170400,200736.000000, 1.000000, 2, 0.000063, 40147.434080, 40147.434080
