Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 8952.000000, 0.020396, 438909.590116, 438904.000000, 1.000000, 6, 0.000101, 438909.590116, 438909.590116
Z2, 0, 1, 720, 5424.000000, 0.012917, 419911.744213, 419904.000000, 1.000000, 6, 0.000101, 209955.872107, 209955.872107
Z2, 1, 1, 720, 7080.000000, 0.001498, 4726301.735648, 4726296.000000, 1.000000, 6, 0.000101, 1575433.911883, 1575433.911883
Z2, 2, 1, 720, 7080.000000, 0.001521, 4654832.347140, 4654832.000000, 1.000000, 6, 0.000101, 1163708.086785, 1163708.086785
Z2, 3, 1, 720, 8376.000000, 0.001534, 5460234.680574, 5460232.000000, 1.000000, 6, 0.000101, 1092046.936115, 1092046.936115
Z2, 4, 1, 720, 7080.000000, 0.001585, 4466876.971609, 4466872.000000, 1.000000, 6, 0.000101, 893375.394322, 893375.394322
Z2, 5, 1, 720, 7272.000000, 0.001723, 4220545.560070, 4220544.000000, 1.000000, 6, 0.000101, 844109.112014, 844109.112014
Z2, 6, 1, 720, 6376.000000, 0.001639, 3890176.937157, 3890176.000000, 1.000000, 6, 0.000101, 778035.387431, 778035.387431
Z2, 7, 1, 720, 6872.000000, 0.001526, 4503276.539974, 4503272.000000, 1.000000, 6, 0.000101, 900655.307995, 900655.307995
Z3, 0, 1, 720, 7080.000000, 0.019305, 366744.366744, 366744.000000, 1.000000, 6, 0.000101, 73348.873349, 73348.873349
Z3, 1, 1, 720, 7080.000000, 0.001443, 4906444.906445, 4906440.000000, 1.000000, 6, 0.000101, 981288.981289, 981288.981289
Z3, 2, 1, 720, 5664.000000, 0.001412, 4011331.444759, 4011328.000000, 1.000000, 6, 0.000101, 802266.288952, 802266.288952
Z3, 3, 1, 720, 7080.000000, 0.001394, 5078909.612626, 5078904.000000, 1.000000, 6, 0.000101, 1015781.922525, 1015781.922525
Z3, 4, 1, 720, 7080.000000, 0.001442, 4909847.434119, 4909840.000000, 1.000000, 6, 0.000101, 981969.486824, 981969.486824
Z3, 5, 1, 720, 5664.000000, 0.001458, 3884773.662551, 3884768.000000, 1.000000, 6, 0.000101, 776954.732510, 776954.732510
Z3, 6, 1, 720, 7080.000000, 0.001637, 4324984.728161, 4324984.000000, 1.000000, 6, 0.000101, 864996.945632, 864996.945632
Z3, 7, 1, 720, 7080.000000, 0.001824, 3881578.947368, 3881576.000000, 1.000000, 6, 0.000101, 776315.789474, 776315.789474
Z3, 8, 1, 720, 5664.000000, 0.002014, 2812313.803376, 2812312.000000, 1.000000, 6, 0.000101, 562462.760675, 562462.760675
Z3, 9, 1, 720, 7080.000000, 0.001902, 3722397.476341, 3722392.000000, 1.000000, 6, 0.000101, 744479.495268, 744479.495268
Z3, 10, 1, 720, 10016.000000, 0.001889, 5302276.336686, 5302272.000000, 1.000000, 6, 0.000101, 1060455.267337, 1060455.267337
Z3, 11, 1, 720, 8376.000000, 0.001802, 4648168.701443, 4648168.000000, 1.000000, 6, 0.000101, 929633.740289, 929633.740289
Z3, 12, 1, 720, 7080.000000, 0.001743, 4061962.134251, 4061960.000000, 1.000000, 6, 0.000101, 812392.426850, 812392.426850
Z3, 13, 1, 720, 10048.000000, 0.001692, 5938534.278960, 5938528.000000, 1.000000, 6, 0.000101, 1187706.855792, 1187706.855792
Z3, 14, 1, 720, 8432.000000, 0.001746, 4829324.169530, 4829320.000000, 1.000000, 6, 0.000101, 965864.833906, 965864.833906
Z3, 15, 1, 720, 7080.000000, 0.001768, 4004524.886878, 4004520.000000, 1.000000, 6, 0.000101, 800904.977376, 800904.977376
Z3, 16, 1, 720, 10008.000000, 0.001708, 5859484.777518, 5859480.000000, 1.000000, 6, 0.000101, 1171896.955504, 1171896.955504
Z3, 17, 1, 720, 8320.000000, 0.002644, 3146747.352496, 3146744.000000, 1.000000, 6, 0.000101, 629349.470499, 629349.470499
Z3, 18, 1, 720, 10072.000000, 0.001830, 5503825.136612, 5503824.000000, 1.000000, 6, 0.000101, 1100765.027322, 1100765.027322
