Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg
Z1, 0, 1, 720, 8952.000000, 0.035016, 255654.557916, 255648.000000, 1.000000, 4, 0.000036, 255654.557916, 255654.557916
Z2, 0, 1, 720, 6840.000000, 0.037943, 180270.405608, 180264.000000, 1.000000, 4, 0.000036, 90135.202804, 90135.202804
Z2, 1, 1, 720, 7080.000000, 0.016117, 439287.708631, 439280.000000, 1.000000, 4, 0.000036, 146429.236210, 146429.236210
Z2, 2, 1, 720, 7328.000000, 0.016011, 457685.341328, 457680.000000, 1.000000, 4, 0.000036, 114421.335332, 114421.335332
Z2, 3, 1, 720, 8840.000000, 0.014933, 591977.499498, 591976.000000, 1.000000, 4, 0.000036, 118395.499900, 118395.499900
Z2, 4, 1, 720, 8816.000000, 0.017077, 516249.926802, 516248.000000, 1.000000, 4, 0.000036, 103249.985360, 103249.985360
Z2, 5, 1, 720, 7544.000000, 0.022075, 341744.054360, 341744.000000, 1.000000, 4, 0.000036, 68348.810872, 68348.810872
Z2, 6, 1, 720, 6872.000000, 0.017730, 387591.652566, 387584.000000, 1.000000, 4, 0.000036, 77518.330513, 77518.330513
Z2, 7, 1, 720, 6872.000000, 0.015957, 430657.391740, 430656.000000, 1.000000, 4, 0.000036, 86131.478348, 86131.478348
Z3, 0, 1, 720, 7328.000000, 0.027122, 270186.564413, 270184.000000, 1.000000, 4, 0.000036, 54037.312883, 54037.312883
Z3, 1, 1, 720, 7080.000000, 0.016181, 437550.213213, 437544.000000, 1.000000, 4, 0.000036, 87510.042643, 87510.042643
Z3, 2, 1, 720, 7328.000000, 0.016007, 457799.712626, 457792.000000, 1.000000, 4, 0.000036, 91559.942525, 91559.942525
Z3, 3, 1, 720, 7080.000000, 0.020069, 352782.898998, 352776.000000, 1.000000, 4, 0.000036, 70556.579800, 70556.579800
Z3, 4, 1, 720, 7328.000000, 0.021981, 333378.827169, 333376.000000, 1.000000, 4, 0.000036, 66675.765434, 66675.765434
Z3, 5, 1, 720, 10288.000000, 0.025802, 398728.780715, 398728.000000, 1.000000, 4, 0.000036, 79745.756143, 79745.756143
Z3, 6, 1, 720, 8864.000000, 0.020125, 440447.204969, 440440.000000, 1.000000, 4, 0.000036, 88089.440994, 88089.440994
Z3, 7, 1, 720, 10312.000000, 0.020212, 510191.965169, 510184.000000, 1.000000, 4, 0.000036, 102038.393034, 102038.393034
Z3, 8, 1, 720, 8848.000000, 0.027213, 325138.720464, 325136.000000, 1.000000, 4, 0.000036, 65027.744093, 65027.744093
Z3, 9, 1, 720, 10280.000000, 0.016327, 629631.898083, 629624.000000, 1.000000, 4, 0.000036, 125926.379617, 125926.379617
Z3, 10, 1, 720, 10328.000000, 0.025269, 408722.149670, 408720.000000, 1.000000, 4, 0.000036, 81744.429934, 81744.429934
Z3, 11, 1, 720, 7368.000000, 0.021491, 342841.189335, 342840.000000, 1.000000, 4, 0.000036, 68568.237867, 68568.237867
Z3, 12, 1, 720, 7520.000000, 0.024143, 311477.446879, 311472.000000, 1.000000, 4, 0.000036, 62295.489376, 62295.489376
Z3, 13, 1, 720, 7360.000000, 0.016337, 450511.109751, 450504.000000, 1.000000, 4, 0.000036, 90102.221950, 90102.221950
